# tracer: nop
#
# entries-in-buffer/entries-written: 11582/11582   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [001] d.h1. 33323.228551: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33323.228560: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1. 33323.244937: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33323.245158: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
       JITWorker-117019  [011] d.s2. 33323.246793: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00114101
       JITWorker-117019  [011] dns2. 33323.246795: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100101
       JITWorker-117019  [011] dns3. 33323.246798: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100111
       JITWorker-117019  [011] dns3. 33323.246799: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100100
       JITWorker-117019  [011] dns3. 33323.246801: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040101
       JITWorker-117019  [011] dns3. 33323.246803: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040000
       JITWorker-117019  [011] dns3. 33323.246805: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00100100
       JITWorker-117019  [011] dns3. 33323.246806: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000000
   kworker/u64:4-116348  [001] d..3. 33323.705590: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104114
   kworker/u64:4-116348  [001] d..3. 33323.705592: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104101
   kworker/u64:4-116348  [001] d..3. 33323.705594: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040100
   kworker/u64:4-116348  [001] d..3. 33323.705595: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040001
   kworker/u64:4-116348  [001] d..3. 33323.705597: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00101000
   kworker/u64:4-116348  [001] d..3. 33323.705599: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000100
   kworker/u64:4-116348  [001] ..... 33323.705625: amdgpu_device_wreg: 0x1638, 0x00005050, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705625: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000001
   kworker/u64:4-116348  [001] ..... 33323.705631: amdgpu_device_wreg: 0x1638, 0x00003adc, 0x00000040
   kworker/u64:4-116348  [001] ..... 33323.705633: amdgpu_device_wreg: 0x1638, 0x00003d70, 0x00000040
   kworker/u64:4-116348  [001] ..... 33323.705636: amdgpu_device_wreg: 0x1638, 0x00003adb, 0x04100200
   kworker/u64:4-116348  [001] ..... 33323.705637: amdgpu_device_wreg: 0x1638, 0x00003ac9, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705639: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:4-116348  [001] ..... 33323.705640: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705640: amdgpu_device_wreg: 0x1638, 0x00003ad4, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705641: amdgpu_device_wreg: 0x1638, 0x00003ad3, 0x000000f4
   kworker/u64:4-116348  [001] ..... 33323.705642: amdgpu_device_wreg: 0x1638, 0x00003ad2, 0xb2f00000
   kworker/u64:4-116348  [001] ..... 33323.705643: amdgpu_device_wreg: 0x1638, 0x00003ad7, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705643: amdgpu_device_wreg: 0x1638, 0x00003ad6, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705644: amdgpu_device_wreg: 0x1638, 0x00003acf, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705645: amdgpu_device_wreg: 0x1638, 0x00003ace, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705646: amdgpu_device_wreg: 0x1638, 0x00003acd, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705647: amdgpu_device_wreg: 0x1638, 0x00003acc, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705648: amdgpu_device_wreg: 0x1638, 0x00003acb, 0x000000f4
   kworker/u64:4-116348  [001] ..... 33323.705648: amdgpu_device_wreg: 0x1638, 0x00003aca, 0xb2000000
   kworker/u64:4-116348  [001] ..... 33323.705650: amdgpu_device_wreg: 0x1638, 0x00003d6f, 0x04100200
   kworker/u64:4-116348  [001] ..... 33323.705652: amdgpu_device_wreg: 0x1638, 0x00003d5d, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705654: amdgpu_device_wreg: 0x1638, 0x00003d6e, 0x00000606
   kworker/u64:4-116348  [001] ..... 33323.705656: amdgpu_device_wreg: 0x1638, 0x00003d69, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705657: amdgpu_device_wreg: 0x1638, 0x00003d68, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705658: amdgpu_device_wreg: 0x1638, 0x00003d67, 0x000000f4
   kworker/u64:4-116348  [001] ..... 33323.705658: amdgpu_device_wreg: 0x1638, 0x00003d66, 0xb2f00000
   kworker/u64:4-116348  [001] ..... 33323.705661: amdgpu_device_wreg: 0x1638, 0x00003d6b, 0x00000000
   kworker/u64:4-116348  [001] ..... 33323.705662: amdgpu_device_wreg: 0x1638, 0x00003d6a, 0x00000000
