09:20:24.252782 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.126 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.296886 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.103 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.369067 78:bd:bc:f8:0d:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.1 tell 192.168.1.108, length 46
09:20:24.372505 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.107 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.444639 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.127 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.496792 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.10 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.520866 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.100 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.544674 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.104 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.620363 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.124 (ff:ff:ff:ff:ff:ff) tell 192.168.1.1, length 46
09:20:24.620395 b0:41:6f:0c:e4:25 > d4:6a:91:ce:70:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.124 is-at b0:41:6f:0c:e4:25, length 28
