# tracer: nop
#
# entries-in-buffer/entries-written: 1428/1428   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u64:4-5436    [009] d..3.  1210.273167: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104114
   kworker/u64:4-5436    [009] d..3.  1210.273170: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104101
   kworker/u64:4-5436    [009] d..3.  1210.273172: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040100
   kworker/u64:4-5436    [009] d..3.  1210.273174: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040001
   kworker/u64:4-5436    [009] d..3.  1210.273175: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00101000
   kworker/u64:4-5436    [009] d..3.  1210.273176: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000100
   kworker/u64:4-5436    [009] .....  1210.273237: amdgpu_device_wreg: 0x1638, 0x00005050, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273240: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000001
   kworker/u64:4-5436    [009] .....  1210.273249: amdgpu_device_wreg: 0x1638, 0x00003adc, 0x00000040
   kworker/u64:4-5436    [009] .....  1210.273253: amdgpu_device_wreg: 0x1638, 0x00003d70, 0x00000040
   kworker/u64:4-5436    [009] .....  1210.273256: amdgpu_device_wreg: 0x1638, 0x00003adb, 0x04100200
   kworker/u64:4-5436    [009] .....  1210.273257: amdgpu_device_wreg: 0x1638, 0x00003ac9, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273259: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:4-5436    [009] .....  1210.273260: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273260: amdgpu_device_wreg: 0x1638, 0x00003ad4, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273261: amdgpu_device_wreg: 0x1638, 0x00003ad3, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.273262: amdgpu_device_wreg: 0x1638, 0x00003ad2, 0x03f00000
   kworker/u64:4-5436    [009] .....  1210.273262: amdgpu_device_wreg: 0x1638, 0x00003ad7, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273263: amdgpu_device_wreg: 0x1638, 0x00003ad6, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273264: amdgpu_device_wreg: 0x1638, 0x00003acf, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273264: amdgpu_device_wreg: 0x1638, 0x00003ace, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273265: amdgpu_device_wreg: 0x1638, 0x00003acd, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273266: amdgpu_device_wreg: 0x1638, 0x00003acc, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273266: amdgpu_device_wreg: 0x1638, 0x00003acb, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.273267: amdgpu_device_wreg: 0x1638, 0x00003aca, 0x03000000
   kworker/u64:4-5436    [009] .....  1210.273269: amdgpu_device_wreg: 0x1638, 0x00003d6f, 0x04100200
   kworker/u64:4-5436    [009] .....  1210.273270: amdgpu_device_wreg: 0x1638, 0x00003d5d, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273271: amdgpu_device_wreg: 0x1638, 0x00003d6e, 0x00000606
   kworker/u64:4-5436    [009] .....  1210.273272: amdgpu_device_wreg: 0x1638, 0x00003d69, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273273: amdgpu_device_wreg: 0x1638, 0x00003d68, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273273: amdgpu_device_wreg: 0x1638, 0x00003d67, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.273274: amdgpu_device_wreg: 0x1638, 0x00003d66, 0x03f00000
   kworker/u64:4-5436    [009] .....  1210.273275: amdgpu_device_wreg: 0x1638, 0x00003d6b, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273275: amdgpu_device_wreg: 0x1638, 0x00003d6a, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273276: amdgpu_device_wreg: 0x1638, 0x00003d63, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273277: amdgpu_device_wreg: 0x1638, 0x00003d62, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273277: amdgpu_device_wreg: 0x1638, 0x00003d61, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273278: amdgpu_device_wreg: 0x1638, 0x00003d60, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273279: amdgpu_device_wreg: 0x1638, 0x00003d5f, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.273279: amdgpu_device_wreg: 0x1638, 0x00003d5e, 0x03000000
   kworker/u64:4-5436    [009] .....  1210.273281: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.273282: amdgpu_device_wreg: 0x1638, 0x00004ffa, 0x00000001
          <idle>-0       [001] d.h1.  1210.274786: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.275030: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1.  1210.275046: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00070101
          <idle>-0       [001] d.h1.  1210.291759: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.291765: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1.  1210.308452: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1.  1210.308460: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [002] d.s3.  1210.309944: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00114101
          <idle>-0       [002] d.s3.  1210.309947: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100101
          <idle>-0       [002] d.s4.  1210.309951: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100111
          <idle>-0       [002] d.s4.  1210.309952: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100100
          <idle>-0       [002] d.s4.  1210.309955: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040101
          <idle>-0       [002] d.s4.  1210.309957: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040000
          <idle>-0       [002] d.s4.  1210.309959: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00100100
          <idle>-0       [002] d.s4.  1210.309961: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000000
   kworker/u64:3-3749    [008] d..3.  1210.706726: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104114
   kworker/u64:3-3749    [008] d..3.  1210.706729: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104101
   kworker/u64:3-3749    [008] d..3.  1210.706731: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040100
   kworker/u64:3-3749    [008] d..3.  1210.706732: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040001
   kworker/u64:3-3749    [008] d..3.  1210.706733: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00101000
   kworker/u64:3-3749    [008] d..3.  1210.706735: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000100
   kworker/u64:3-3749    [008] .....  1210.706794: amdgpu_device_wreg: 0x1638, 0x00005050, 0x00000000
   kworker/u64:3-3749    [008] .....  1210.706795: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000001
   kworker/u64:3-3749    [008] .....  1210.706799: amdgpu_device_wreg: 0x1638, 0x00003adc, 0x00000040
   kworker/u64:3-3749    [008] .....  1210.706801: amdgpu_device_wreg: 0x1638, 0x00003d70, 0x00000040
   kworker/u64:3-3749    [008] .....  1210.706804: amdgpu_device_wreg: 0x1638, 0x00003adb, 0x04100200
   kworker/u64:3-3749    [008] .....  1210.706805: amdgpu_device_wreg: 0x1638, 0x00003ac9, 0x00000000
